individual	additiveSNPeff	recessiveSNPeff	domSNPeff	mutationType
Pa53	136	50	86	stop_gained
Ma32	122	54	68	stop_gained
Es94	129	56	73	stop_gained
Es42	127	43	84	stop_gained
Es95	125	52	73	stop_gained
Br17	112	49	63	stop_gained
Ma14	128	55	73	stop_gained
Ma73	124	48	76	stop_gained
Es88	134	60	74	stop_gained
Es92	129	45	84	stop_gained
Es22	127	56	71	stop_gained
Pi75	112	45	67	stop_gained
Es90	138	60	78	stop_gained
Pi11	147	55	92	stop_gained
Es91	133	59	74	stop_gained
Pa92	141	47	94	stop_gained
Es98	125	58	67	stop_gained
Po11	135	32	103	stop_gained
Gs03	129	30	99	stop_gained
Cc19	145	64	81	stop_gained
Es21	134	61	73	stop_gained
Ma65	129	57	72	stop_gained
Es14	121	54	67	stop_gained
Pa31	144	42	102	stop_gained
Es13	123	55	68	stop_gained
Ca04	146	46	100	stop_gained
Pi39	125	45	80	stop_gained
Ma22	121	51	70	stop_gained
Pi31	114	50	64	stop_gained
St03	148	37	111	stop_gained
Pi33	118	43	75	stop_gained
Pi29	137	54	83	stop_gained
Ma31	127	57	70	stop_gained
Pa78	143	62	81	stop_gained
Es64	124	56	68	stop_gained
Pi94	128	53	75	stop_gained
La19	140	65	75	stop_gained
Pi14	127	48	79	stop_gained
Ma35	129	55	74	stop_gained
St14	159	38	121	stop_gained
Se27	177	41	136	stop_gained
Ma21	133	56	77	stop_gained
Pi2	136	59	77	stop_gained
Ma34	127	55	72	stop_gained
Gz19	130	29	101	stop_gained
Pi57	133	51	82	stop_gained
Cc15	121	56	65	stop_gained
Pi56	130	56	74	stop_gained
Es3	130	61	69	stop_gained
Es24	128	58	70	stop_gained
Pi19	133	47	86	stop_gained
Es35	124	54	70	stop_gained
Cc04	133	55	78	stop_gained
Pi74	146	57	89	stop_gained
Es34	129	59	70	stop_gained
Pa74	126	52	74	stop_gained
Pa42	150	59	91	stop_gained
Pa75	146	55	91	stop_gained
Pa16	123	52	71	stop_gained
Pi15	153	70	83	stop_gained
Ma20	127	56	71	stop_gained
Pa65	135	57	78	stop_gained
Ma83	127	53	74	stop_gained
Ma8	122	42	80	stop_gained
Ma78	122	55	67	stop_gained
Am02	134	24	110	stop_gained
Ga91	123	57	66	stop_gained
St02	145	36	109	stop_gained
St05	133	31	102	stop_gained
Pi43	141	52	89	stop_gained
St16	148	38	110	stop_gained
Po15	150	34	116	stop_gained
Am04	154	30	124	stop_gained
Am07	148	28	120	stop_gained
Am09	122	37	85	stop_gained
Pa2	137	49	88	stop_gained
Es49	130	52	78	stop_gained
Am10	141	22	119	stop_gained
Es23	144	63	81	stop_gained
Am12	140	33	107	stop_gained
Am13	155	36	119	stop_gained
Pa20	137	46	91	stop_gained
Am16	128	38	90	stop_gained
Br12	131	57	74	stop_gained
Ga14	124	47	77	stop_gained
Ga12	119	35	84	stop_gained
Br14	113	52	61	stop_gained
Ma23	125	54	71	stop_gained
Cc08	117	49	68	stop_gained
Am03	135	33	102	stop_gained
Br15	131	58	73	stop_gained
La11	129	57	72	stop_gained
Cc11	126	38	88	stop_gained
Pi13	131	58	73	stop_gained
Br20	116	53	63	stop_gained
Ma77	120	54	66	stop_gained
Br23	119	54	65	stop_gained
Es53	137	46	91	stop_gained
Mv14	140	30	110	stop_gained
Ca02	142	40	102	stop_gained
Ca16	168	51	117	stop_gained
Es43	127	61	66	stop_gained
Cc02	139	63	76	stop_gained
VI08	198	39	159	stop_gained
Cc09	132	41	91	stop_gained
Ca03	140	34	106	stop_gained
Cc10	145	61	84	stop_gained
Am14	138	24	114	stop_gained
Cc12	120	49	71	stop_gained
Cc17	122	46	76	stop_gained
St12	2	0	2	stop_gained&splice_region_variant
St09	3	0	3	stop_gained&splice_region_variant
St07	3	1	2	stop_gained&splice_region_variant
St04	7	2	5	stop_gained&splice_region_variant
St01	3	1	2	stop_gained&splice_region_variant
Se23	0	0	0	stop_gained&splice_region_variant
Se18	4	1	3	stop_gained&splice_region_variant
Se16	0	0	0	stop_gained&splice_region_variant
Se13	3	1	2	stop_gained&splice_region_variant
Se08	3	0	3	stop_gained&splice_region_variant
Se07	1	0	1	stop_gained&splice_region_variant
Se06	2	0	2	stop_gained&splice_region_variant
Se02	3	1	2	stop_gained&splice_region_variant
Se01	2	0	2	stop_gained&splice_region_variant
Po18	3	1	2	stop_gained&splice_region_variant
Po16	5	2	3	stop_gained&splice_region_variant
Po13	2	1	1	stop_gained&splice_region_variant
Po10	1	0	1	stop_gained&splice_region_variant
Po08	3	0	3	stop_gained&splice_region_variant
Po05	6	1	5	stop_gained&splice_region_variant
Po03	3	1	2	stop_gained&splice_region_variant
Po01	0	0	0	stop_gained&splice_region_variant
Mv24	5	0	5	stop_gained&splice_region_variant
Mv19	3	0	3	stop_gained&splice_region_variant
Mv16	3	0	3	stop_gained&splice_region_variant
Mv12	3	0	3	stop_gained&splice_region_variant
Mv11	3	1	2	stop_gained&splice_region_variant
Mv08	3	0	3	stop_gained&splice_region_variant
Mv07	1	0	1	stop_gained&splice_region_variant
Mv06	2	0	2	stop_gained&splice_region_variant
Se20	4	0	4	stop_gained&splice_region_variant
Mv04	4	0	4	stop_gained&splice_region_variant
Mv03	5	0	5	stop_gained&splice_region_variant
La17	4	2	2	stop_gained&splice_region_variant
La16	4	2	2	stop_gained&splice_region_variant
La15	4	2	2	stop_gained&splice_region_variant
La14	4	2	2	stop_gained&splice_region_variant
La10	4	2	2	stop_gained&splice_region_variant
La07	4	2	2	stop_gained&splice_region_variant
La06	4	2	2	stop_gained&splice_region_variant
Po02	0	0	0	stop_gained&splice_region_variant
La04	4	2	2	stop_gained&splice_region_variant
La02	4	2	2	stop_gained&splice_region_variant
Gz31	1	0	1	stop_gained&splice_region_variant
Gz24	7	3	4	stop_gained&splice_region_variant
Gz17	6	2	4	stop_gained&splice_region_variant
Gz14	4	0	4	stop_gained&splice_region_variant
Gz12	11	4	7	stop_gained&splice_region_variant
Gz03	6	0	6	stop_gained&splice_region_variant
St08	6	1	5	stop_gained&splice_region_variant
Gs25	1	0	1	stop_gained&splice_region_variant
Gs24	6	1	5	stop_gained&splice_region_variant
Gs21	6	2	4	stop_gained&splice_region_variant
Gs12	2	0	2	stop_gained&splice_region_variant
Gs11	6	2	4	stop_gained&splice_region_variant
Gs06	3	1	2	stop_gained&splice_region_variant
Gs05	6	1	5	stop_gained&splice_region_variant
Se22	4	1	3	stop_gained&splice_region_variant
Po07	3	1	2	stop_gained&splice_region_variant
Gs04	9	2	7	stop_gained&splice_region_variant
Gs02	5	1	4	stop_gained&splice_region_variant
Gf21	4	1	3	stop_gained&splice_region_variant
Gf15	4	2	2	stop_gained&splice_region_variant
Gf06	5	2	3	stop_gained&splice_region_variant
Ga15	10	5	5	stop_gained&splice_region_variant
Ga11	12	5	7	stop_gained&splice_region_variant
Mv13	5	1	4	stop_gained&splice_region_variant
Ga10	12	5	7	stop_gained&splice_region_variant
Ga09	10	5	5	stop_gained&splice_region_variant
Ga08	14	6	8	stop_gained&splice_region_variant
Ga06	14	7	7	stop_gained&splice_region_variant
Ga05	12	4	8	stop_gained&splice_region_variant
Ga04	12	6	6	stop_gained&splice_region_variant
Ga03	10	5	5	stop_gained&splice_region_variant
Ga02	12	5	7	stop_gained&splice_region_variant
Gs22	3	1	2	stop_gained&splice_region_variant
Ga01	9	4	5	stop_gained&splice_region_variant
Cc22	0	0	0	stop_gained&splice_region_variant
Cc20	2	1	1	stop_gained&splice_region_variant
Pi67	9	4	5	stop_gained&splice_region_variant
Ma59	8	4	4	stop_gained&splice_region_variant
Ma96	6	3	3	stop_gained&splice_region_variant
Pa69	6	2	4	stop_gained&splice_region_variant
La18	4	2	2	stop_gained&splice_region_variant
Pa66	6	3	3	stop_gained&splice_region_variant
Gz04	7	0	7	stop_gained&splice_region_variant
Ma42	9	4	5	stop_gained&splice_region_variant
Pi88	8	4	4	stop_gained&splice_region_variant
Pa11	5	2	3	stop_gained&splice_region_variant
Pa58	6	3	3	stop_gained&splice_region_variant
Pa91	9	2	7	stop_gained&splice_region_variant
Pa76	10	3	7	stop_gained&splice_region_variant
GR03	2	1	1	stop_gained&splice_region_variant
Ma30	9	4	5	stop_gained&splice_region_variant
Pi44	6	3	3	stop_gained&splice_region_variant
Ma71	9	4	5	stop_gained&splice_region_variant
Es72	8	2	6	stop_gained&splice_region_variant
Am06	2	1	1	stop_gained&splice_region_variant
Br13	4	2	2	stop_gained&splice_region_variant
Ma95	8	4	4	stop_gained&splice_region_variant
Ga07	14	7	7	stop_gained&splice_region_variant
Ma100	10	4	6	stop_gained&splice_region_variant
Gs15	5	1	4	stop_gained&splice_region_variant
Es73	7	3	4	stop_gained&splice_region_variant
Mv23	5	1	4	stop_gained&splice_region_variant
Ma76	9	3	6	stop_gained&splice_region_variant
Gz26	7	2	5	stop_gained&splice_region_variant
Pi78	8	3	5	stop_gained&splice_region_variant
Es9	7	3	4	stop_gained&splice_region_variant
Ma94	10	4	6	stop_gained&splice_region_variant
Pa49	8	4	4	stop_gained&splice_region_variant
GB04	8	4	4	stop_gained&splice_region_variant
Pa43	6	3	3	stop_gained&splice_region_variant
Pa46	10	3	7	stop_gained&splice_region_variant
Ca06	1	0	1	stop_gained&splice_region_variant
Pi52	8	3	5	stop_gained&splice_region_variant
Se12	2	0	2	stop_gained&splice_region_variant
Es65-1	7	3	4	stop_gained&splice_region_variant
Ma74	7	3	4	stop_gained&splice_region_variant
Gf10	2	1	1	stop_gained&splice_region_variant
Gf02	1	0	1	stop_gained&splice_region_variant
Ma46	11	5	6	stop_gained&splice_region_variant
Ma90	10	4	6	stop_gained&splice_region_variant
Pi76	7	3	4	stop_gained&splice_region_variant
Gz21	9	3	6	stop_gained&splice_region_variant
Gs17	8	3	5	stop_gained&splice_region_variant
Am08	5	1	4	stop_gained&splice_region_variant
Pi73	5	2	3	stop_gained&splice_region_variant
Es25	9	3	6	stop_gained&splice_region_variant
Pa84	7	3	4	stop_gained&splice_region_variant
Es83	9	4	5	stop_gained&splice_region_variant
Pa85	5	2	3	stop_gained&splice_region_variant
Pi65	9	4	5	stop_gained&splice_region_variant
Ma67	7	3	4	stop_gained&splice_region_variant
Pa55	13	6	7	stop_gained&splice_region_variant
Pa51	9	3	6	stop_gained&splice_region_variant
Ma68	9	4	5	stop_gained&splice_region_variant
Ma44	6	3	3	stop_gained&splice_region_variant
Ma66	8	3	5	stop_gained&splice_region_variant
Es81	9	2	7	stop_gained&splice_region_variant
Es82	7	3	4	stop_gained&splice_region_variant
La08	4	2	2	stop_gained&splice_region_variant
GR02	0	0	0	stop_gained&splice_region_variant
Es84	7	3	4	stop_gained&splice_region_variant
Es66	9	4	5	stop_gained&splice_region_variant
Se24	2	0	2	stop_gained&splice_region_variant
Es86	9	4	5	stop_gained&splice_region_variant
Cc01	2	1	1	stop_gained&splice_region_variant
Am17	6	1	5	stop_gained&splice_region_variant
Ma39	7	3	4	stop_gained&splice_region_variant
Pi89	9	4	5	stop_gained&splice_region_variant
NU02	10	5	5	stop_gained&splice_region_variant
Po06	5	1	4	stop_gained&splice_region_variant
Es38	8	2	6	stop_gained&splice_region_variant
Ma84	10	4	6	stop_gained&splice_region_variant
Pi90	5	1	4	stop_gained&splice_region_variant
Pa64	6	1	5	stop_gained&splice_region_variant
Ma24	7	3	4	stop_gained&splice_region_variant
Pa35	11	4	7	stop_gained&splice_region_variant
Pa5	7	3	4	stop_gained&splice_region_variant
Ma62	10	3	7	stop_gained&splice_region_variant
Se04	3	1	2	stop_gained&splice_region_variant
Pi83	7	3	4	stop_gained&splice_region_variant
Pa52	7	3	4	stop_gained&splice_region_variant
AA02	5	1	4	stop_gained&splice_region_variant
Pa12	9	3	6	stop_gained&splice_region_variant
Pa3	5	2	3	stop_gained&splice_region_variant
Es93	9	4	5	stop_gained&splice_region_variant
Gz30	5	1	4	stop_gained&splice_region_variant
Pi98	10	4	6	stop_gained&splice_region_variant
Es77	10	5	5	stop_gained&splice_region_variant
Ma61	9	4	5	stop_gained&splice_region_variant
Pi87	5	2	3	stop_gained&splice_region_variant
Ma17	10	4	6	stop_gained&splice_region_variant
VI06	12	3	9	stop_gained&splice_region_variant
Pi42	7	3	4	stop_gained&splice_region_variant
Ma81	7	3	4	stop_gained&splice_region_variant
Pi84	7	3	4	stop_gained&splice_region_variant
Gz13	5	1	4	stop_gained&splice_region_variant
Es40	7	3	4	stop_gained&splice_region_variant
Gs09	4	1	3	stop_gained&splice_region_variant
Es39	10	5	5	stop_gained&splice_region_variant
Ma15	9	4	5	stop_gained&splice_region_variant
Pi77	9	4	5	stop_gained&splice_region_variant
Pa33	8	3	5	stop_gained&splice_region_variant
Ma47	8	4	4	stop_gained&splice_region_variant
Es48	9	4	5	stop_gained&splice_region_variant
Pa98	8	4	4	stop_gained&splice_region_variant
Gf03	3	1	2	stop_gained&splice_region_variant
VI01	15	5	10	stop_gained&splice_region_variant
Ma40	8	4	4	stop_gained&splice_region_variant
Es79	9	4	5	stop_gained&splice_region_variant
Pi80	6	2	4	stop_gained&splice_region_variant
GG01	9	4	5	stop_gained&splice_region_variant
Pa1	9	4	5	stop_gained&splice_region_variant
Es75	9	4	5	stop_gained&splice_region_variant
Pi93	6	2	4	stop_gained&splice_region_variant
Ma72	10	4	6	stop_gained&splice_region_variant
Gf24	3	1	2	stop_gained&splice_region_variant
Ma52	7	3	4	stop_gained&splice_region_variant
AA03	5	1	4	stop_gained&splice_region_variant
Gz28	7	2	5	stop_gained&splice_region_variant
Pi97	8	3	5	stop_gained&splice_region_variant
Es19	10	4	6	stop_gained&splice_region_variant
Cc21	3	1	2	stop_gained&splice_region_variant
TV02	10	5	5	stop_gained&splice_region_variant
Pi55	8	3	5	stop_gained&splice_region_variant
GR01	2	1	1	stop_gained&splice_region_variant
Ma26	10	4	6	stop_gained&splice_region_variant
Pi79	4	1	3	stop_gained&splice_region_variant
Pa40	9	4	5	stop_gained&splice_region_variant
Pi26	7	3	4	stop_gained&splice_region_variant
Ma69	12	5	7	stop_gained&splice_region_variant
Es99	7	3	4	stop_gained&splice_region_variant
PB01	9	4	5	stop_gained&splice_region_variant
Pa32	10	4	6	stop_gained&splice_region_variant
Ma16	7	3	4	stop_gained&splice_region_variant
Ma19	7	3	4	stop_gained&splice_region_variant
Am05	3	0	3	stop_gained&splice_region_variant
Es6	10	4	6	stop_gained&splice_region_variant
AA01	2	1	1	stop_gained&splice_region_variant
SV01	10	5	5	stop_gained&splice_region_variant
Es85	9	3	6	stop_gained&splice_region_variant
Pi62	8	4	4	stop_gained&splice_region_variant
Es7	8	3	5	stop_gained&splice_region_variant
Pa30	9	4	5	stop_gained&splice_region_variant
Pa37	8	3	5	stop_gained&splice_region_variant
Es68	6	2	4	stop_gained&splice_region_variant
Pa94	9	2	7	stop_gained&splice_region_variant
Mv21	8	2	6	stop_gained&splice_region_variant
Pa57	11	5	6	stop_gained&splice_region_variant
Ma87	8	4	4	stop_gained&splice_region_variant
Se25	2	0	2	stop_gained&splice_region_variant
GB03	13	5	8	stop_gained&splice_region_variant
LC01	3	1	2	stop_gained&splice_region_variant
Po04	5	1	4	stop_gained&splice_region_variant
Ma45	9	3	6	stop_gained&splice_region_variant
Gs19	6	2	4	stop_gained&splice_region_variant
Pi21	5	2	3	stop_gained&splice_region_variant
Br10	2	1	1	stop_gained&splice_region_variant
RI01	10	5	5	stop_gained&splice_region_variant
AA04	3	1	2	stop_gained&splice_region_variant
Es71	7	3	4	stop_gained&splice_region_variant
Pi72	5	2	3	stop_gained&splice_region_variant
Pa29	9	4	5	stop_gained&splice_region_variant
Ma3	8	3	5	stop_gained&splice_region_variant
Am15	4	1	3	stop_gained&splice_region_variant
AA05	5	2	3	stop_gained&splice_region_variant
La01	4	2	2	stop_gained&splice_region_variant
Pa23	10	5	5	stop_gained&splice_region_variant
Pa88	9	4	5	stop_gained&splice_region_variant
Ma29	7	2	5	stop_gained&splice_region_variant
VI07	12	4	8	stop_gained&splice_region_variant
Pi5	9	4	5	stop_gained&splice_region_variant
Es12	5	2	3	stop_gained&splice_region_variant
Ma10	9	4	5	stop_gained&splice_region_variant
Ma4	6	3	3	stop_gained&splice_region_variant
Ma85	8	4	4	stop_gained&splice_region_variant
GB01	11	5	6	stop_gained&splice_region_variant
Ma80	8	3	5	stop_gained&splice_region_variant
Ma36	8	3	5	stop_gained&splice_region_variant
Pa87	9	4	5	stop_gained&splice_region_variant
Ma33	7	2	5	stop_gained&splice_region_variant
Pa28	9	3	6	stop_gained&splice_region_variant
PB03	15	7	8	stop_gained&splice_region_variant
Am18	9	1	8	stop_gained&splice_region_variant
PB02	13	6	7	stop_gained&splice_region_variant
Es59	10	4	6	stop_gained&splice_region_variant
Pa90	6	3	3	stop_gained&splice_region_variant
Ma75	10	4	6	stop_gained&splice_region_variant
GB02	11	3	8	stop_gained&splice_region_variant
VI04	16	4	12	stop_gained&splice_region_variant
CG01	10	2	8	stop_gained&splice_region_variant
LC02	0	0	0	stop_gained&splice_region_variant
Es63	5	2	3	stop_gained&splice_region_variant
St10	2	0	2	stop_gained&splice_region_variant
Es57	8	3	5	stop_gained&splice_region_variant
Ma70	4	1	3	stop_gained&splice_region_variant
Es20	10	4	6	stop_gained&splice_region_variant
Es60	9	3	6	stop_gained&splice_region_variant
Es46	7	3	4	stop_gained&splice_region_variant
Es78	11	5	6	stop_gained&splice_region_variant
Pa67	9	2	7	stop_gained&splice_region_variant
Gf18	2	0	2	stop_gained&splice_region_variant
Ma43	9	4	5	stop_gained&splice_region_variant
Ca12	3	1	2	stop_gained&splice_region_variant
Gs23	3	0	3	stop_gained&splice_region_variant
RI02	10	5	5	stop_gained&splice_region_variant
Ca19	2	1	1	stop_gained&splice_region_variant
Pi18	5	2	3	stop_gained&splice_region_variant
Pa72	9	2	7	stop_gained&splice_region_variant
NU01	10	5	5	stop_gained&splice_region_variant
Cc03	6	3	3	stop_gained&splice_region_variant
Es52	5	2	3	stop_gained&splice_region_variant
Pi12	5	2	3	stop_gained&splice_region_variant
Es56	9	4	5	stop_gained&splice_region_variant
Ma99	8	4	4	stop_gained&splice_region_variant
Pi1	7	3	4	stop_gained&splice_region_variant
Es36	9	4	5	stop_gained&splice_region_variant
Pi86	10	5	5	stop_gained&splice_region_variant
Pa48	7	2	5	stop_gained&splice_region_variant
Ma9	6	3	3	stop_gained&splice_region_variant
Pa36	12	4	8	stop_gained&splice_region_variant
Ma88	7	3	4	stop_gained&splice_region_variant
Es32	8	4	4	stop_gained&splice_region_variant
WT01	11	5	6	stop_gained&splice_region_variant
Es16	10	2	8	stop_gained&splice_region_variant
Pi41	9	4	5	stop_gained&splice_region_variant
AN02	1	0	1	stop_gained&splice_region_variant
Pa77	4	2	2	stop_gained&splice_region_variant
Pa68	8	3	5	stop_gained&splice_region_variant
Br09	3	1	2	stop_gained&splice_region_variant
Ma89	9	4	5	stop_gained&splice_region_variant
Ma56	7	3	4	stop_gained&splice_region_variant
Es41	8	4	4	stop_gained&splice_region_variant
Pi20	10	5	5	stop_gained&splice_region_variant
Es33	9	3	6	stop_gained&splice_region_variant
Ma92	8	3	5	stop_gained&splice_region_variant
Mv05	3	1	2	stop_gained&splice_region_variant
Ma91	7	2	5	stop_gained&splice_region_variant
Ma86	9	4	5	stop_gained&splice_region_variant
St11	3	0	3	stop_gained&splice_region_variant
Pi71	8	2	6	stop_gained&splice_region_variant
Es50	9	4	5	stop_gained&splice_region_variant
Es67	10	3	7	stop_gained&splice_region_variant
Pa100	8	3	5	stop_gained&splice_region_variant
La09	4	2	2	stop_gained&splice_region_variant
Ma2	9	2	7	stop_gained&splice_region_variant
Ma12	8	4	4	stop_gained&splice_region_variant
Pa89	6	2	4	stop_gained&splice_region_variant
Po14	4	2	2	stop_gained&splice_region_variant
Pa61	10	4	6	stop_gained&splice_region_variant
Pa60	7	3	4	stop_gained&splice_region_variant
AN01	2	1	1	stop_gained&splice_region_variant
Ma63	9	4	5	stop_gained&splice_region_variant
Mv93	5	1	4	stop_gained&splice_region_variant
Ma54	9	4	5	stop_gained&splice_region_variant
Pi59	7	3	4	stop_gained&splice_region_variant
Gz29	8	2	6	stop_gained&splice_region_variant
Pi68	11	5	6	stop_gained&splice_region_variant
Pi34	9	4	5	stop_gained&splice_region_variant
Es44	6	3	3	stop_gained&splice_region_variant
Es100	8	3	5	stop_gained&splice_region_variant
Ma6	9	4	5	stop_gained&splice_region_variant
Pa45	12	4	8	stop_gained&splice_region_variant
Pa71	7	3	4	stop_gained&splice_region_variant
Pi28	12	5	7	stop_gained&splice_region_variant
Ma11	10	3	7	stop_gained&splice_region_variant
Ga13	11	5	6	stop_gained&splice_region_variant
Ga95	10	5	5	stop_gained&splice_region_variant
Ma58	10	4	6	stop_gained&splice_region_variant
Pi92	5	2	3	stop_gained&splice_region_variant
Ma98	10	4	6	stop_gained&splice_region_variant
Es17	7	3	4	stop_gained&splice_region_variant
Se26	4	0	4	stop_gained&splice_region_variant
Ma79	9	4	5	stop_gained&splice_region_variant
Po12	3	1	2	stop_gained&splice_region_variant
Mv10	2	0	2	stop_gained&splice_region_variant
Ma38	7	3	4	stop_gained&splice_region_variant
Pa47	7	3	4	stop_gained&splice_region_variant
Ma60	7	3	4	stop_gained&splice_region_variant
Pi7	7	3	4	stop_gained&splice_region_variant
Pi60	7	3	4	stop_gained&splice_region_variant
Cc07	4	2	2	stop_gained&splice_region_variant
Ma37	9	4	5	stop_gained&splice_region_variant
Ma82	9	3	6	stop_gained&splice_region_variant
Pi27	7	3	4	stop_gained&splice_region_variant
Ma27	9	4	5	stop_gained&splice_region_variant
Pi82	6	3	3	stop_gained&splice_region_variant
Ma93	2	1	1	stop_gained&splice_region_variant
Pi81	10	4	6	stop_gained&splice_region_variant
Ma18	9	4	5	stop_gained&splice_region_variant
Am92	6	1	5	stop_gained&splice_region_variant
Ma48	10	4	6	stop_gained&splice_region_variant
Pi96	11	5	6	stop_gained&splice_region_variant
St13	1	0	1	stop_gained&splice_region_variant
Ma5	5	2	3	stop_gained&splice_region_variant
Es76	8	3	5	stop_gained&splice_region_variant
Ma49	8	4	4	stop_gained&splice_region_variant
St06	1	0	1	stop_gained&splice_region_variant
Ma51	6	3	3	stop_gained&splice_region_variant
Gz23	6	2	4	stop_gained&splice_region_variant
Ma50	8	4	4	stop_gained&splice_region_variant
Pi36	7	3	4	stop_gained&splice_region_variant
Pi3	6	3	3	stop_gained&splice_region_variant
Ma53	11	5	6	stop_gained&splice_region_variant
Ma13	8	3	5	stop_gained&splice_region_variant
Br16	5	2	3	stop_gained&splice_region_variant
Ma41	10	3	7	stop_gained&splice_region_variant
Pa96	7	3	4	stop_gained&splice_region_variant
Ca21	1	0	1	stop_gained&splice_region_variant
Es8	9	4	5	stop_gained&splice_region_variant
GE02	10	5	5	stop_gained&splice_region_variant
Ma55	7	3	4	stop_gained&splice_region_variant
Gz07	3	0	3	stop_gained&splice_region_variant
Pa56	9	4	5	stop_gained&splice_region_variant
Pa6	9	3	6	stop_gained&splice_region_variant
Pa63	9	4	5	stop_gained&splice_region_variant
Cc13	0	0	0	stop_gained&splice_region_variant
Pa19	7	3	4	stop_gained&splice_region_variant
Pi58	11	5	6	stop_gained&splice_region_variant
Es55	9	4	5	stop_gained&splice_region_variant
Pa27	13	5	8	stop_gained&splice_region_variant
Ma57	7	3	4	stop_gained&splice_region_variant
Am11	2	0	2	stop_gained&splice_region_variant
TV01	10	5	5	stop_gained&splice_region_variant
Pa14	8	4	4	stop_gained&splice_region_variant
Cc06	2	1	1	stop_gained&splice_region_variant
Pa13	10	4	6	stop_gained&splice_region_variant
Pa24	9	3	6	stop_gained&splice_region_variant
Br19	4	2	2	stop_gained&splice_region_variant
Pi49	11	5	6	stop_gained&splice_region_variant
Pi85	7	3	4	stop_gained&splice_region_variant
Pa86	9	4	5	stop_gained&splice_region_variant
Br21	4	2	2	stop_gained&splice_region_variant
Pa26	8	3	5	stop_gained&splice_region_variant
Se03	2	1	1	stop_gained&splice_region_variant
Pi54	7	3	4	stop_gained&splice_region_variant
GE01	10	5	5	stop_gained&splice_region_variant
Pi51	6	3	3	stop_gained&splice_region_variant
La05	4	2	2	stop_gained&splice_region_variant
Pa53	8	3	5	stop_gained&splice_region_variant
Ma32	9	4	5	stop_gained&splice_region_variant
Es94	9	4	5	stop_gained&splice_region_variant
Es42	10	3	7	stop_gained&splice_region_variant
Es95	5	2	3	stop_gained&splice_region_variant
Br17	4	2	2	stop_gained&splice_region_variant
Ma14	9	4	5	stop_gained&splice_region_variant
Ma73	8	3	5	stop_gained&splice_region_variant
Es88	9	4	5	stop_gained&splice_region_variant
Es92	11	3	8	stop_gained&splice_region_variant
Es22	6	2	4	stop_gained&splice_region_variant
Pi75	6	2	4	stop_gained&splice_region_variant
Es90	10	5	5	stop_gained&splice_region_variant
Pi11	7	3	4	stop_gained&splice_region_variant
Es91	8	4	4	stop_gained&splice_region_variant
Pa92	8	2	6	stop_gained&splice_region_variant
Es98	5	2	3	stop_gained&splice_region_variant
Po11	2	0	2	stop_gained&splice_region_variant
Gs03	3	1	2	stop_gained&splice_region_variant
Cc19	2	1	1	stop_gained&splice_region_variant
Es21	5	2	3	stop_gained&splice_region_variant
Ma65	10	5	5	stop_gained&splice_region_variant
Es14	9	4	5	stop_gained&splice_region_variant
Pa31	11	4	7	stop_gained&splice_region_variant
Es13	7	3	4	stop_gained&splice_region_variant
Ca04	2	0	2	stop_gained&splice_region_variant
Pi39	7	2	5	stop_gained&splice_region_variant
Ma22	7	2	5	stop_gained&splice_region_variant
Pi31	11	5	6	stop_gained&splice_region_variant
St03	2	1	1	stop_gained&splice_region_variant
Pi33	9	3	6	stop_gained&splice_region_variant
Pi29	5	2	3	stop_gained&splice_region_variant
Ma31	9	4	5	stop_gained&splice_region_variant
Pa78	3	1	2	stop_gained&splice_region_variant
Es64	4	2	2	stop_gained&splice_region_variant
Pi94	8	3	5	stop_gained&splice_region_variant
La19	4	2	2	stop_gained&splice_region_variant
Pi14	6	2	4	stop_gained&splice_region_variant
Ma35	12	5	7	stop_gained&splice_region_variant
St14	3	1	2	stop_gained&splice_region_variant
Se27	5	1	4	stop_gained&splice_region_variant
Ma21	11	4	7	stop_gained&splice_region_variant
Pi2	7	3	4	stop_gained&splice_region_variant
Ma34	10	4	6	stop_gained&splice_region_variant
Gz19	5	1	4	stop_gained&splice_region_variant
Pi57	7	2	5	stop_gained&splice_region_variant
Cc15	2	0	2	stop_gained&splice_region_variant
Pi56	8	3	5	stop_gained&splice_region_variant
Es3	9	4	5	stop_gained&splice_region_variant
Es24	11	5	6	stop_gained&splice_region_variant
Pi19	9	3	6	stop_gained&splice_region_variant
Es35	10	4	6	stop_gained&splice_region_variant
Cc04	6	3	3	stop_gained&splice_region_variant
Pi74	9	3	6	stop_gained&splice_region_variant
Es34	6	2	4	stop_gained&splice_region_variant
Pa74	7	3	4	stop_gained&splice_region_variant
Pa42	8	3	5	stop_gained&splice_region_variant
Pa75	12	5	7	stop_gained&splice_region_variant
Pa16	7	3	4	stop_gained&splice_region_variant
Pi15	6	3	3	stop_gained&splice_region_variant
Ma20	9	4	5	stop_gained&splice_region_variant
Pa65	8	4	4	stop_gained&splice_region_variant
Ma83	9	4	5	stop_gained&splice_region_variant
Ma8	8	3	5	stop_gained&splice_region_variant
Ma78	9	4	5	stop_gained&splice_region_variant
Am02	6	1	5	stop_gained&splice_region_variant
Ga91	9	4	5	stop_gained&splice_region_variant
St02	3	1	2	stop_gained&splice_region_variant
St05	2	0	2	stop_gained&splice_region_variant
Pi43	5	2	3	stop_gained&splice_region_variant
St16	5	1	4	stop_gained&splice_region_variant
Po15	4	1	3	stop_gained&splice_region_variant
Am04	2	0	2	stop_gained&splice_region_variant
