308	0.06411928779340297	784519224.3801777	0.28744722390520755	0.04573161162406775	0.053007309480182785	0.31079058477641414	-291.8962002719065	12902.735327317863	three_epoch	2.85	output/dadi/Pa_dfe.txt
2	0.06314473949523822	925628724.836394	0.2899160754968947	0.045371172511221525	0.05247164914985397	0.30581750411845554	-362.55632726919157	6420.926094795127	bottlegrowth	2.85	output/dadi/Pa_dfe.txt
187	0.063165609683505	995698600.2285444	0.2884644781603163	0.04516003309080807	0.05222997704080046	0.30445338335813676	-364.7779916753372	6420.926094795127	bottlegrowth	2.85	output/dadi/Pa_dfe.txt
192	0.0644720280034705	759167727.3966277	0.2860826901309075	0.045783957598311886	0.05311110341827885	0.3120756176825368	-367.1268489650362	6420.926094795127	bottlegrowth	2.85	output/dadi/Pa_dfe.txt
267	0.06409310894079746	843780233.6025449	0.2862547827499143	0.045521899633008345	0.05276105303860218	0.3093029443830172	-367.38074753212356	6420.926094795127	bottlegrowth	2.85	output/dadi/Pa_dfe.txt
242	0.06433331687712063	842837189.8118386	0.2849330453159485	0.04549441789831177	0.052758373542869386	0.30974650959989775	-369.68303862532736	6420.926094795127	bottlegrowth	2.85	output/dadi/Pa_dfe.txt
217	0.06439659629887955	931089607.9346544	0.28276139437890385	0.04519545872266756	0.05241931808350336	0.3078840643952549	-374.59352394000393	6420.926094795127	bottlegrowth	2.85	output/dadi/Pa_dfe.txt
473	0.0681326155527145	993904859.612678	0.2615631827540026	0.04442822273668007	0.05197464476572783	0.31242139256154433	-381.3211766333039	12902.735327317863	three_epoch	2.85	output/dadi/Pa_dfe.txt
332	0.06577167369507902	848042145.5087162	0.2769136629098579	0.04527930512423578	0.05268310900726075	0.3120686223808589	-388.79746283697335	6420.926094795127	bottlegrowth	2.85	output/dadi/Pa_dfe.txt
383	0.06956564836622321	753734683.3414377	0.25920883245406245	0.04503055898183417	0.052853402612330125	0.32051946950678306	-389.2494504573657	12902.735327317863	three_epoch	2.85	output/dadi/Pa_dfe.txt
357	0.06536433265436005	973150743.2618787	0.27663089580706146	0.04493132202495881	0.05222921553367976	0.30861177823910085	-390.73798322565256	6420.926094795127	bottlegrowth	2.85	output/dadi/Pa_dfe.txt
28	0.06925338491982551	827960892.5139315	0.2590980114434054	0.044792726839788854	0.05253646594187328	0.3179886844526913	-391.45580208272054	12902.735327317863	three_epoch	2.85	output/dadi/Pa_dfe.txt
208	0.07423009178046021	270467451.5596869	0.25542236758574527	0.04760999813375627	0.05648435309527644	0.3524419875906619	-391.4915732402052	12902.735327317863	three_epoch	2.85	output/dadi/Pa_dfe.txt
